author_date_unix_timestamp,fix,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1449448540.000000,0,1,2,2,0.742488,8,11,287,3,0.070972,9,1799.5,11.567515,1768,0,0
1449461175.000000,0,1,1,1,0,16,11,460,3,0.146238,2,1801,7.838148,1769,0,0
1449463044.000000,0,1,1,1,0,1,0,10,2,20.473414,1,1802,1.048844,1770,0,0
1449531107.000000,0,1,1,1,0,6,5,424,2,4.21206,17,0,0,0,0,0
1449532080.000000,1,1,27,67,4.935567,2219,1783,327.373134,3,8.231336,233,1836,1.009274,1837,1,2.035868
1449557047.000000,0,1,1,2,0.985228,5,2,205,4,2.721713,37,123.5,1.332569,75,1,73.725891
1449557174.000000,1,1,1,2,1,2,2,34.5,4,3.367755,8,125.5,1.2227,13,1,134.426898
1449560792.000000,0,1,5,20,3.593348,232,123,70.3,4,9.349012,79,136.5,2.172754,95,1,0.01015
1449560844.000000,0,2,2,2,0.991076,7,2,5.5,2,0.811331,3,147.5,0.808136,37,1,3.666829
1449560943.000000,0,2,2,2,0,3,0,34,4,1.79077,3,149.5,1.279278,96,0,0
1449561650.000000,0,1,1,1,0,0,52,52,4,0.009931,1,151,101.699301,97,0,0
1449561669.000000,1,1,1,1,0,24,6,28,4,0.01015,1,152,99.517674,98,0,0
1449561964.000000,0,2,2,2,0.811278,6,2,109,5,0.013264,6,153.5,58.419596,99,1,3.653866
1449577572.000000,0,1,1,1,0,1,1,158,2,4.74985,16,1,1.210533,1,0,0
1449582670.000000,0,1,1,1,0,1,1,42,1,2.364016,1,6,1.423009,2,0,0
1449597539.000000,1,2,20,92,5.191368,3986,744,528.282609,4,12.143486,388,1915.5,1.016045,1927,1,1.292708
1449615313.000000,0,2,6,14,3.577895,764,138,336.714286,4,6.852367,67,1968.5,1.372975,1940,1,2.818264
1449618087.000000,1,1,8,16,3.213339,536,27,458.5625,2,25.105438,19,1983.5,1.007095,30,0,0
1449619883.000000,1,1,7,11,2.77602,109,31,271.272727,4,17.012889,53,1997,1.018174,1951,1,1.061748
1449640225.000000,0,1,1,1,0,26,0,0,1,0,0,20,0,1,1,41.982882
1449640265.000000,0,1,1,1,0,14,0,26,1,0.000463,1,21,2161,2,0,0
1449640942.000000,0,1,1,1,0,9,0,0,1,0,0,22,0,3,0,0
1449641117.000000,0,1,1,1,0,2,2,46,4,0.919537,2,7,2.087504,2,0,0
1449685853.000000,0,1,2,2,1,2,2,73.5,3,4.254178,10,2003.5,1.146628,1953,0,0
1449700476.000000,1,1,1,1,0,1,0,1058,4,1.1914,12,0,0,0,0,0
1449707979.000000,1,1,2,2,0.918296,2,1,361,3,2.554803,8,2005.5,1.260523,1955,0,0
1449709229.000000,1,1,2,3,1.521928,5,5,636,4,1.891208,14,2008,1.242777,1958,0,0
1449709431.000000,0,1,1,3,1.143198,39,41,16.333333,1,0.531076,3,24,2.05023,6,0,0
1449711618.000000,1,1,24,49,3.975567,817,215,571.571429,4,6.350764,403,2034,1.012267,2007,1,1.703623
1449767176.000000,1,1,1,1,0,1,1,214,3,3.758889,1,2059,1.266036,2008,0,0
1449771338.000000,0,2,3,3,1.334679,8,5,268,4,9.165791,32,2061,1.510491,4,1,0.205012
1449774303.000000,1,1,5,6,1.477417,147,23,407.833333,2,15.182427,22,3.5,1.021766,6,1,3.972674
1449778060.000000,1,2,10,18,3.075132,285,82,871.5,4,6.11838,104,2071.5,1.022444,1,0,0
1449786475.000000,0,1,1,1,0,1,1,1,1,5.92537,4,2081,1.168766,2,0,0
1449789051.000000,1,1,4,4,1.392147,5,4,564.75,4,2.543356,24,2083.5,1.353683,2031,1,0.557431
1449794542.000000,1,1,7,25,4.099194,327,184,564.76,4,14.604953,99,2098,1.031498,2056,1,132.947407
1449837213.000000,1,1,1,1,0,4,1,54,4,0.557431,5,0,0,0,0,0
1449854131.000000,1,1,1,1,0,6,1,42,4,3.395127,2,155,1.29454,100,1,2.252569
1449854204.000000,0,1,1,1,0,1,1,7,5,3.382407,2,156,1.295647,40,1,0.271458
1449858811.000000,1,1,16,28,4.120216,138,64,509.428571,4,5.739322,208,2124.5,1.02463,2084,1,4.292465
